GISJOIN,STATEA,COUNTYA,TRACTA,Total,White,Black,Native,Asian,Hawaiian,Other,Two,WPct,BPct,NPct
G32000109501001,32,1,950100,1027,892,30,37,10,2,28,28,0.87,0.03,0.04
G32000109501002,32,1,950100,1536,1323,33,20,30,3,86,41,0.86,0.02,0.01
G32000109503011,32,1,950301,815,648,12,28,21,0,56,50,0.80,0.01,0.03
G32000109503012,32,1,950301,1380,967,26,149,69,1,49,119,0.70,0.02,0.11
G32000109503013,32,1,950301,1689,1327,50,42,47,4,134,85,0.79,0.03,0.02
G32000109503021,32,1,950302,1576,1288,31,43,90,9,44,71,0.82,0.02,0.03
G32000109503022,32,1,950302,758,575,26,23,27,1,44,62,0.76,0.03,0.03
G32000109503023,32,1,950302,1476,1177,45,25,90,1,52,86,0.80,0.03,0.02
G32000109503024,32,1,950302,661,476,5,29,17,0,104,30,0.72,0.01,0.04
G32000109503025,32,1,950302,797,639,18,41,30,1,39,29,0.80,0.02,0.05
G32000109504001,32,1,950400,711,488,56,6,69,3,12,77,0.69,0.08,0.01
G32000109505001,32,1,950500,761,244,2,453,4,0,7,51,0.32,0.00,0.60
G32000109505002,32,1,950500,630,568,1,9,5,1,37,9,0.90,0.00,0.01
G32000109506001,32,1,950600,1926,1733,10,38,23,4,65,53,0.90,0.01,0.02
G32000109506002,32,1,950600,1865,1558,5,38,35,1,188,40,0.84,0.00,0.02
G32000109506003,32,1,950600,1568,1409,9,33,32,2,41,42,0.90,0.01,0.02
G32000109507001,32,1,950700,1534,1364,14,32,11,4,64,45,0.89,0.01,0.02
G32000109507002,32,1,950700,1592,1398,13,28,31,9,52,61,0.88,0.01,0.02
G32000109507003,32,1,950700,869,779,2,26,9,4,17,32,0.90,0.00,0.03
G32000109507004,32,1,950700,1706,1554,7,29,15,1,64,36,0.91,0.00,0.02
G32000300001011,32,3,101,1171,583,150,13,27,4,344,50,0.50,0.13,0.01
G32000300001012,32,3,101,1887,1040,105,11,106,19,519,87,0.55,0.06,0.01
G32000300001013,32,3,101,698,424,63,0,27,12,131,41,0.61,0.09,0.00
